state|city|region|lat|lon|road
PA|Castanhal|Norte|-1.296|-47.921|BR-316 / BR-308
PA|Santarém|Norte|-2.443|-54.708|BR-163
PA|Marabá|Norte|-5.368|-49.117|BR-230 / BR-155 / BR-222
PA|Altamira|Norte|-3.203|-52.206|BR-230
PB|João Pessoa|Nordeste|-7.119|-34.845|BR-101 / BR-230
PB|Campina Grande|Nordeste|-7.230|-35.881|BR-230 / BR-104
PB|Patos|Nordeste|-7.024|-37.280|BR-230 / BR-361
PB|Cajazeiras|Nordeste|-6.889|-38.561|BR-230
PR|Curitiba / São José dos Pinhais|Sul|-25.428|-49.273|BR-116 / BR-376 / BR-277 / BR-476
PR|Londrina|Sul|-23.304|-51.169|BR-369 / PR-445
PR|Maringá|Sul|-23.420|-51.934|BR-376 / BR-369
PR|Cascavel|Sul|-24.955|-53.455|BR-277 / BR-163 / BR-369
PR|Ponta Grossa|Sul|-25.095|-50.162|BR-376 / BR-373
PR|Foz do Iguaçu|Sul|-25.546|-54.588|BR-277
PR|Guarapuava|Sul|-25.390|-51.462|BR-277 / BR-373
PE|Recife|Nordeste|-8.047|-34.877|BR-101 / BR-232
PE|Caruaru|Nordeste|-8.284|-35.970|BR-232 / BR-104
PE|Petrolina|Nordeste|-9.389|-40.503|BR-407 / BR-428
PE|Serra Talhada|Nordeste|-7.991|-38.298|BR-232 / BR-110
PE|Garanhuns|Nordeste|-8.890|-36.492|BR-423 / BR-424
PI|Teresina|Nordeste|-5.091|-42.803|BR-343 / BR-316
PI|Parnaíba|Nordeste|-2.905|-41.775|BR-343 / BR-402
PI|Picos|Nordeste|-7.077|-41.467|BR-316 / BR-407 / BR-020
PI|Floriano|Nordeste|-6.771|-43.024|BR-230 / BR-343
RJ|Rio de Janeiro|Sudeste|-22.906|-43.172|BR-101 / BR-116 / BR-040 / Linha Vermelha
RJ|Niterói|Sudeste|-22.883|-43.103|BR-101
RJ|Duque de Caxias|Sudeste|-22.786|-43.305|BR-040 / BR-116
RJ|Nova Iguaçu|Sudeste|-22.759|-43.451|BR-116
RJ|Campos dos Goytacazes|Sudeste|-21.762|-41.318|BR-101
RJ|Volta Redonda|Sudeste|-22.520|-44.099|BR-116
RJ|Petrópolis|Sudeste|-22.511|-43.177|BR-040
RJ|Angra dos Reis|Sudeste|-23.006|-44.318|BR-101
RN|Natal / Parnamirim|Nordeste|-5.795|-35.209|BR-101 / BR-304 / BR-226
RN|Mossoró|Nordeste|-5.187|-37.344|BR-304 / BR-110 / BR-405
RN|Caicó|Nordeste|-6.459|-37.097|BR-427
RS|Porto Alegre / Canoas|Sul|-30.034|-51.217|BR-116 / BR-290 / BR-448
RS|Caxias do Sul|Sul|-29.168|-51.179|BR-116 / RS-122
RS|Pelotas|Sul|-31.765|-52.337|BR-116 / BR-392
RS|Santa Maria|Sul|-29.686|-53.807|BR-158 / BR-287
RS|Passo Fundo|Sul|-28.262|-52.408|BR-285 / BR-153
RS|Rio Grande|Sul|-32.035|-52.098|BR-392 / BR-471
RS|Uruguaiana|Sul|-29.754|-57.089|BR-290 / BR-472
RO|Porto Velho|Norte|-8.761|-63.901|BR-364 / BR-319
RO|Ji-Paraná|Norte|-10.877|-61.932|BR-364
RO|Ariquemes|Norte|-9.913|-63.041|BR-364
RO|Vilhena|Norte|-12.741|-60.145|BR-364 / BR-174
RR|Boa Vista|Norte|2.824|-60.675|BR-174 / BR-401
RR|Rorainópolis|Norte|0.939|-60.438|BR-174
RR|Pacaraima|Norte|4.479|-61.147|BR-174
SC|Florianópolis / São José|Sul|-27.595|-48.548|BR-101 / BR-282
SC|Joinville|Sul|-26.304|-48.849|BR-101 / BR-280
SC|Blumenau|Sul|-26.919|-49.066|BR-470
SC|Itajaí|Sul|-26.910|-48.670|BR-101 / BR-470
SC|Chapecó|Sul|-27.100|-52.615|BR-282 / BR-480
SC|Criciúma|Sul|-28.672|-49.373|BR-101 / SC-445
SC|Lages|Sul|-27.815|-50.326|BR-282 / BR-116
SP|São Paulo / Guarulhos|Sudeste|-23.550|-46.633|BR-116 / BR-381 / SP-330 / SP-280 / Rodoanel
SP|Campinas|Sudeste|-22.905|-47.060|SP-330 / SP-348 / SP-065
SP|Santos / Baixada Santista|Sudeste|-23.960|-46.333|BR-101 / SP-150 / SP-160
SP|Ribeirão Preto|Sudeste|-21.177|-47.810|SP-330 / SP-334
SP|São José dos Campos|Sudeste|-23.189|-45.884|BR-116 / SP-099
SP|Sorocaba|Sudeste|-23.501|-47.458|SP-280 / SP-075
SP|Bauru|Sudeste|-22.315|-49.061|SP-300 / BR-153
SP|São José do Rio Preto|Sudeste|-20.812|-49.376|BR-153 / SP-310
SP|Presidente Prudente|Sudeste|-22.121|-51.393|SP-270 / BR-374
SE|Aracaju|Nordeste|-10.947|-37.073|BR-101 / BR-235
SE|Itabaiana|Nordeste|-10.685|-37.425|BR-235 / SE-175
SE|Estância|Nordeste|-11.269|-37.438|BR-101
SE|Lagarto|Nordeste|-10.913|-37.668|SE-270 / BR-101
TO|Palmas|Norte|-10.184|-48.334|BR-010 / TO-050
TO|Araguaína|Norte|-7.192|-48.207|BR-153 / TO-222
TO|Gurupi|Norte|-11.728|-49.068|BR-153
TO|Porto Nacional|Norte|-10.708|-48.417|TO-050 / BR-010
